hour,day_of_month,month,is_weekend,store_id,product_id,category,temperature,is_rainy,holiday,quantity,revenue
22,9,4,0,S03,P031,Toys,29.7,0,0,3,35.79
22,9,4,0,S03,PEPSI,Beverage,31.2,0,0,3,4.41
22,9,4,0,S03,COKE,Beverage,34.6,1,0,4,5.0
22,9,4,0,S01,P023,Snacks,32.2,0,0,6,17.1
22,9,4,0,S02,P023,Snacks,32.0,0,0,2,5.4
22,9,4,0,S01,PEPSI,Beverage,35.4,0,0,8,13.12
22,9,4,0,S03,P018,Bakery,33.4,0,0,2,5.26
22,9,4,0,S03,P006,Clothing,35.2,1,0,2,82.48
22,9,4,0,S03,BREAD,Bakery,34.9,1,0,3,3.63
22,9,4,0,S03,COKE,Beverage,32.2,0,0,5,7.65
22,9,4,0,S03,MILK,Dairy,31.7,0,0,7,9.31
22,9,4,0,S01,P009,Home,30.6,0,0,4,194.08
22,9,4,0,S01,P028,Sports,34.0,0,0,3,48.03
22,9,4,0,S02,COKE,Beverage,32.1,0,0,3,4.89
22,9,4,0,S01,P017,Beverage,32.5,1,0,3,4.26
22,9,4,0,S01,BREAD,Bakery,32.5,0,0,3,4.35
22,9,4,0,S02,P018,Bakery,35.4,0,0,2,8.78
22,9,4,0,S01,P020,Dairy,32.9,1,0,7,32.76
22,9,4,0,S01,P017,Beverage,31.0,0,0,4,8.92
22,9,4,0,S02,P011,Home,31.8,0,0,2,54.12
22,9,4,0,S01,BREAD,Bakery,32.8,0,0,8,8.24
22,9,4,0,S01,COKE,Beverage,34.5,0,0,2,2.9
22,9,4,0,S02,P018,Bakery,34.5,0,0,4,15.76
22,9,4,0,S02,P019,Dairy,30.4,0,0,7,9.45
22,9,4,0,S02,MILK,Dairy,31.8,0,0,2,2.92
22,9,4,0,S03,P018,Bakery,34.6,0,0,6,24.24
22,9,4,0,S01,P009,Home,34.7,0,0,1,53.21
22,9,4,0,S01,P001,Electronics,32.4,0,0,2,2038.98
22,9,4,0,S02,P016,Beverage,34.0,0,0,6,17.58
22,9,4,0,S01,P029,Stationery,29.9,0,0,1,17.13
22,9,4,0,S02,P025,Health & Beauty,32.1,1,0,3,34.2
22,9,4,0,S01,P019,Dairy,32.4,0,0,4,3.48
22,9,4,0,S03,P023,Snacks,35.1,0,0,1,37.96
22,9,4,0,S01,P020,Dairy,33.7,0,0,7,30.03
22,9,4,0,S02,P019,Dairy,30.9,0,0,3,3.87
22,9,4,0,S02,MILK,Dairy,34.7,0,0,1,1.54
22,9,4,0,S03,P018,Bakery,30.7,0,0,4,13.12
22,9,4,0,S01,P002,Electronics,33.7,0,0,4,112.32
22,9,4,0,S02,P019,Dairy,31.7,0,0,5,5.6
22,9,4,0,S03,P017,Beverage,30.7,0,0,7,14.84
22,9,4,0,S01,P017,Beverage,32.3,0,0,2,3.92
22,9,4,0,S01,P017,Beverage,30.0,1,0,8,12.32
22,9,4,0,S03,P018,Bakery,35.0,1,0,4,17.08
22,9,4,0,S01,P017,Beverage,30.5,0,0,4,7.48
22,9,4,0,S01,BREAD,Bakery,35.5,0,0,1,1.25
22,9,4,0,S02,P023,Snacks,32.0,0,0,5,8.65
22,9,4,0,S03,P020,Dairy,34.4,0,0,8,32.88
22,9,4,0,S03,MILK,Dairy,31.1,0,0,4,6.08
22,9,4,0,S03,P015,Electronics,28.4,0,0,2,35.26
22,9,4,0,S02,BREAD,Bakery,30.7,0,0,6,6.96
22,9,4,0,S01,PEPSI,Beverage,25.0,0,0,3,50.25
22,9,4,0,S03,P016,Beverage,28.6,0,0,3,129.54
22,9,4,0,S03,P017,Beverage,35.1,0,0,4,5.96
22,9,4,0,S03,P029,Stationery,30.7,0,0,1,5.55
22,9,4,0,S03,P017,Beverage,30.3,1,0,7,8.82
22,9,4,0,S02,P007,Clothing,35.0,0,0,1,60.11
22,9,4,0,S02,P003,Electronics,30.3,0,0,4,50.52
22,9,4,0,S01,P008,Clothing,34.9,0,0,2,189.08
22,9,4,0,S01,P016,Beverage,32.4,0,0,2,5.7
22,9,4,0,S02,PEPSI,Beverage,34.1,1,0,5,8.1
22,9,4,0,S01,P017,Beverage,30.0,0,0,6,10.68
22,9,4,0,S01,P016,Beverage,31.6,0,0,7,14.77
22,9,4,0,S02,COKE,Beverage,30.6,1,0,3,4.05
22,9,4,0,S03,BREAD,Bakery,32.6,0,0,6,8.04
22,9,4,0,S03,P020,Dairy,34.7,0,0,4,18.56
22,9,4,0,S01,P013,Accessories,29.9,0,0,4,595.2
22,9,4,0,S01,COKE,Beverage,31.0,0,0,4,6.52
22,9,4,0,S01,P025,Health & Beauty,32.0,0,0,4,126.48
22,9,4,0,S03,P019,Dairy,31.8,0,0,3,4.05
22,9,4,0,S02,COKE,Beverage,32.9,0,0,1,1.29
22,9,4,0,S03,P016,Beverage,35.1,0,0,2,5.6
22,9,4,0,S01,PEPSI,Beverage,31.1,0,0,5,6.7
22,9,4,0,S01,P019,Dairy,32.7,0,0,8,10.64
22,9,4,0,S03,PEPSI,Beverage,32.1,0,0,2,2.56
22,9,4,0,S01,COKE,Beverage,32.2,0,0,1,1.76
22,9,4,0,S02,MILK,Dairy,29.6,0,0,1,1.89
22,9,4,0,S02,P023,Snacks,34.7,0,0,8,15.84
22,9,4,0,S03,P026,Health & Beauty,33.4,0,0,4,8.12
22,9,4,0,S02,P017,Beverage,31.1,0,0,7,12.18
22,9,4,0,S03,MILK,Dairy,31.1,0,0,2,3.24
22,9,4,0,S01,COKE,Beverage,31.7,0,0,2,3.1
22,9,4,0,S01,P016,Beverage,30.1,0,0,1,3.17
22,9,4,0,S03,COKE,Beverage,33.7,0,0,6,10.2
22,9,4,0,S03,P016,Beverage,30.9,0,0,2,3.9
22,9,4,0,S03,P012,Accessories,36.3,0,0,1,30.91
22,9,4,0,S02,P018,Bakery,30.7,0,0,2,7.62
22,9,4,0,S03,P021,Snacks,30.6,1,0,5,10.2
22,9,4,0,S03,P020,Dairy,34.5,0,0,6,30.72
22,9,4,0,S01,P016,Beverage,31.0,0,0,8,17.12
22,9,4,0,S02,PEPSI,Beverage,33.0,0,0,6,7.68
22,9,4,0,S01,P019,Dairy,30.6,0,0,8,9.68
22,9,4,0,S01,COKE,Beverage,30.1,1,0,2,3.44
22,9,4,0,S02,PEPSI,Beverage,33.2,0,0,4,5.68
22,9,4,0,S03,P025,Health & Beauty,30.3,0,0,3,116.13
22,9,4,0,S01,P019,Dairy,33.0,0,0,1,0.81
22,9,4,0,S02,P020,Dairy,29.8,0,0,4,19.36
22,9,4,0,S03,P018,Bakery,34.0,0,0,7,19.81
22,9,4,0,S01,PEPSI,Beverage,32.4,0,0,8,11.92
22,9,4,0,S03,P018,Bakery,30.9,0,0,5,13.95
22,9,4,0,S03,P018,Bakery,32.6,0,0,8,22.16
22,9,4,0,S03,P018,Bakery,33.4,0,0,4,76.0
22,9,4,0,S03,P011,Home,34.2,0,0,4,170.88
22,9,4,0,S01,BREAD,Bakery,33.1,0,0,2,1.96
22,9,4,0,S01,P017,Beverage,34.3,0,0,3,6.75
22,9,4,0,S01,P019,Dairy,30.9,0,0,8,12.56
22,9,4,0,S01,P020,Dairy,34.1,0,0,3,11.25
22,9,4,0,S02,P017,Beverage,33.3,0,0,2,3.02
22,9,4,0,S03,PEPSI,Beverage,32.8,0,0,2,2.7
22,9,4,0,S03,P010,Home,34.0,0,0,1,41.18
22,9,4,0,S03,P007,Clothing,31.8,0,0,2,81.5
22,9,4,0,S03,P028,Sports,34.3,0,0,2,41.02
22,9,4,0,S02,P019,Dairy,35.0,0,0,4,6.36
22,9,4,0,S02,P018,Bakery,30.2,0,0,7,22.61
22,9,4,0,S03,P016,Beverage,33.6,0,0,1,3.14
22,9,4,0,S01,P017,Beverage,31.6,0,0,6,9.42
22,9,4,0,S03,P026,Health & Beauty,31.2,1,0,2,4.96
22,9,4,0,S01,MILK,Dairy,33.1,0,0,4,6.68
22,9,4,0,S01,P016,Beverage,31.9,0,0,4,8.88
22,9,4,0,S02,MILK,Dairy,27.1,0,0,3,44.1
22,9,4,0,S03,P031,Toys,27.3,0,0,3,54.87
22,9,4,0,S02,P022,Snacks,35.4,0,0,7,17.85
22,9,4,0,S03,MILK,Dairy,35.2,0,0,3,5.16
22,9,4,0,S03,P020,Dairy,35.1,0,0,5,27.05
22,9,4,0,S03,P018,Bakery,29.7,0,0,4,12.12
22,9,4,0,S01,BREAD,Bakery,34.6,0,0,6,7.68
22,9,4,0,S01,PEPSI,Beverage,33.3,0,0,8,8.88
22,9,4,0,S03,P010,Home,32.5,0,0,2,96.36
22,9,4,0,S02,BREAD,Bakery,33.2,0,0,5,6.35
22,9,4,0,S03,P031,Toys,32.5,0,0,2,16.14
22,9,4,0,S02,COKE,Beverage,30.5,0,0,1,1.35
22,9,4,0,S01,P008,Clothing,36.5,0,0,1,27.65
22,9,4,0,S01,P004,Electronics,34.7,0,0,1,577.23
22,9,4,0,S01,PEPSI,Beverage,31.3,0,0,6,9.66
22,9,4,0,S03,COKE,Beverage,29.8,0,0,8,10.4
22,9,4,0,S02,P013,Accessories,32.1,0,0,4,351.72
22,9,4,0,S03,COKE,Beverage,31.3,0,0,8,12.32
22,9,4,0,S02,BREAD,Bakery,33.8,0,0,6,7.92
22,9,4,0,S01,P007,Clothing,35.7,0,0,2,83.82
22,9,4,0,S01,P019,Dairy,33.6,0,0,6,5.76
22,9,4,0,S01,COKE,Beverage,32.0,0,0,7,9.24
22,9,4,0,S02,P016,Beverage,34.4,0,0,5,15.55
22,9,4,0,S02,P020,Dairy,32.6,1,0,8,45.52
22,9,4,0,S03,P018,Bakery,33.6,0,0,1,2.99
22,9,4,0,S01,P003,Electronics,37.4,0,0,1,28.81
22,9,4,0,S01,P027,Sports,29.7,0,0,1,21.13
22,9,4,0,S02,P019,Dairy,32.3,0,0,7,11.06
22,9,4,0,S03,BREAD,Bakery,33.0,0,0,3,2.67
22,9,4,0,S03,P021,Snacks,32.2,1,0,6,10.26
22,9,4,0,S02,BREAD,Bakery,32.1,0,0,8,6.4
22,9,4,0,S03,P019,Dairy,35.2,0,0,7,9.94
22,9,4,0,S01,MILK,Dairy,31.7,0,0,7,9.31
22,9,4,0,S03,PEPSI,Beverage,32.6,0,0,4,110.04
22,9,4,0,S01,MILK,Dairy,34.5,0,0,5,8.95
