hour,day_of_month,month,is_weekend,store_id,product_id,category,temperature,is_rainy,holiday,quantity,revenue
0,1,1,0,S03,MILK,Dairy,21.7,1,0,6,13.39
1,1,1,0,S03,PEPSI,Beverage,25.2,0,1,11,19.4
2,1,1,0,S01,MILK,Dairy,25.1,0,1,6,13.57
3,1,1,0,S03,PEPSI,Beverage,25.7,0,0,5,7.32
4,1,1,0,S01,BREAD,Bakery,23.4,1,0,25,29.93
5,1,1,0,S02,COKE,Beverage,27.3,0,0,3,3.99
6,1,1,0,S01,MILK,Dairy,26.7,0,0,21,35.46
7,1,1,0,S01,BREAD,Bakery,24.5,0,0,43,57.01
8,1,1,0,S03,MILK,Dairy,27.4,0,0,36,69.06
9,1,1,0,S03,COKE,Beverage,26.4,0,0,36,50.86
10,1,1,0,S01,COKE,Beverage,24.9,0,0,59,72.25
11,1,1,0,S03,COKE,Beverage,27.8,0,0,51,81.78
12,1,1,0,S03,COKE,Beverage,20.5,1,0,50,71.0
13,1,1,0,S03,MILK,Dairy,27.5,0,0,35,66.72
14,1,1,0,S01,COKE,Beverage,29.5,0,0,53,78.38
15,1,1,0,S02,MILK,Dairy,20.7,0,0,40,52.92
16,1,1,0,S01,BREAD,Bakery,22.6,1,0,47,43.44
17,1,1,0,S02,PEPSI,Beverage,26.5,0,0,50,61.58
18,1,1,0,S02,PEPSI,Beverage,29.1,0,0,65,76.76
19,1,1,0,S01,BREAD,Bakery,28.8,0,1,79,91.58
20,1,1,0,S01,PEPSI,Beverage,23.8,0,0,55,72.11
21,1,1,0,S01,MILK,Dairy,25.8,0,0,39,63.01
22,1,1,0,S01,COKE,Beverage,25.2,1,0,20,36.63
23,1,1,0,S03,PEPSI,Beverage,24.9,0,0,2,3.31
0,2,1,0,S03,MILK,Dairy,27.4,0,0,2,3.66
1,2,1,0,S03,BREAD,Bakery,22.0,1,0,4,5.14
2,2,1,0,S03,PEPSI,Beverage,20.3,0,0,10,15.69
3,2,1,0,S03,PEPSI,Beverage,26.4,0,0,17,24.26
4,2,1,0,S02,BREAD,Bakery,23.1,0,0,8,8.28
5,2,1,0,S01,MILK,Dairy,25.2,0,0,13,17.77
6,2,1,0,S03,MILK,Dairy,25.3,0,0,21,43.56
7,2,1,0,S01,MILK,Dairy,27.0,0,0,25,53.53
8,2,1,0,S01,COKE,Beverage,22.0,0,0,21,39.06
9,2,1,0,S01,MILK,Dairy,22.7,0,0,15,31.2
10,2,1,0,S01,MILK,Dairy,22.4,0,0,50,65.21
11,2,1,0,S02,PEPSI,Beverage,27.6,0,0,51,72.6
12,2,1,0,S03,MILK,Dairy,23.9,0,0,35,68.79
13,2,1,0,S01,MILK,Dairy,24.3,1,0,38,58.14
14,2,1,0,S01,BREAD,Bakery,22.5,0,0,56,52.35
15,2,1,0,S01,PEPSI,Beverage,25.5,0,0,36,53.85
16,2,1,0,S02,BREAD,Bakery,25.2,0,0,26,33.57
17,2,1,0,S03,PEPSI,Beverage,20.9,0,0,25,40.62
18,2,1,0,S01,MILK,Dairy,26.5,0,0,55,102.28
19,2,1,0,S02,MILK,Dairy,20.3,0,0,70,83.75
20,2,1,0,S02,COKE,Beverage,25.4,1,1,61,85.41
21,2,1,0,S03,MILK,Dairy,27.9,1,0,29,45.89
